image,setup,Trunk-Cam_dist[mm],ObjType,Position,FSize[1],FSize[2],FSize[3],Xgt[m],Ygt[m],Zgt[m],Xestimated[m],Yestimated[m],Zestimated[m],Manhattan[m],Euclidean[m]
color_1_6_0.png,3D,1531.0,Tennis_ball,1,0.0651789285714286,0.0651789285714286,0.0651789285714286,0.467,0.055,1.887,0.467,0.037,1.917,0.050000000000000024,0.03605551275463991
color_1_6_0.png,3D,1531.0,Apple,2,0.05986,0.05596,0.052340000000000005,0.0,0.072,1.854,0.0,0.062,1.894,0.04999999999999982,0.04123105625617643
color_1_6_0.png,3D,1531.0,Apple,3,0.061149999999999996,0.05579,0.05243,-0.469,0.078,1.844,-0.469,0.082,1.874,0.030000000000000027,0.030000000000000027
color_1_6_0.png,3D,1531.0,Apple,4,0.06436,0.061149999999999996,0.05579,0.468,0.079,1.532,0.468,0.06,1.592,0.08000000000000006,0.06324555320336764
color_1_6_0.png,3D,1531.0,Apple,5,0.05882,0.05952,0.052469999999999996,0.0,0.074,1.544,0.0,0.03,1.604,0.10000000000000006,0.07211102550927984
color_1_6_0.png,3D,1531.0,Apple,6,0.053700000000000005,0.05374,0.05364,-0.473,0.066,1.553,-0.473,0.033,1.613,0.10000000000000006,0.07211102550927984
color_1_6_0.png,3D,1531.0,Apple,7,0.06105,0.05845,0.04982,0.469,0.073,1.245,0.469,0.04,1.305,0.08000000000000004,0.05830951894845304
color_1_6_0.png,3D,1531.0,Tennis_ball,8,0.0651789285714286,0.0651789285714286,0.0651789285714286,0.0,0.055,1.287,0.0,0.04,1.297,0.030000000000000006,0.022360679774997897
color_1_6_0.png,3D,1531.0,Apple,9,0.06418,0.06325,0.055560000000000005,-0.468,0.082,1.232,-0.468,0.03,1.292,0.11000000000000006,0.07810249675906658
color_1_6_0.png,3D,1531.0,Apple,10,0.049530000000000005,0.047049999999999995,0.04403,0.475,0.059,0.968,0.475,0.04,1.008,0.06000000000000003,0.04472135954999582
color_1_6_0.png,3D,1531.0,Apple,11,0.06987,0.06844,0.06317,0.0,0.1,0.908,0.0,0.036,0.978,0.12999999999999995,0.09219544457292884
color_1_6_0.png,3D,1531.0,Apple,12,0.059789999999999996,0.05779,0.05198,-0.47,0.072,0.944,-0.47,0.041,0.994,0.08000000000000004,0.05830951894845304
color_1_6_0.png,3D,1531.0,Apple,13,0.06909,0.06714,0.059789999999999996,0.465,0.093,0.62,0.465,0.05,0.68,0.10000000000000005,0.07211102550927982
color_1_6_0.png,3D,1531.0,Apple,14,0.05787,0.05712,0.05273,0.0,0.071,0.654,0.0,0.05,0.694,0.05999999999999993,0.044721359549995725
color_1_6_0.png,3D,1531.0,Tennis_ball,15,0.0651789285714286,0.0651789285714286,0.0651789285714286,-0.467,0.055,0.687,-0.467,0.03,0.677,0.0399999999999999,0.03162277660168376
color_1_6_0.png,3D,1531.0,Apple,16,0.06658,0.06581000000000001,0.05819,0.187,0.27,1.831,0.167,0.257,1.921,0.11999999999999986,0.0927361849549569
color_1_6_0.png,3D,1531.0,Apple,17,0.04845,0.049159999999999995,0.0418,-0.126,0.267,1.879,-0.076,0.275,1.929,0.11000000000000006,0.07141428428542854
color_1_6_0.png,3D,1531.0,Apple,18,0.05932,0.056850000000000005,0.05077,0.17,0.112,1.555,0.17,0.082,1.655,0.12999999999999987,0.10440306508910538
color_1_6_0.png,3D,1531.0,Tennis_ball,19,0.0651789285714286,0.0651789285714286,0.0651789285714286,-0.267,0.432,1.597,-0.267,0.497,1.597,0.07,0.07
color_1_6_0.png,3D,1531.0,Apple,20,0.06508,0.06317,0.05831,0.067,0.388,1.231,0.067,0.378,1.311,0.09000000000000008,0.08062257748298557
color_1_6_0.png,3D,1531.0,Apple,21,0.06486,0.05994,0.05818,-0.068,0.144,1.241,-0.068,0.19,1.301,0.11000000000000004,0.07810249675906658
color_1_6_0.png,3D,1531.0,Tennis_ball,22,0.0651789285714286,0.0651789285714286,0.0651789285714286,0.167,0.242,0.997,0.167,0.287,1.007,0.06,0.05099019513592784
color_1_6_0.png,3D,1531.0,Apple,23,0.04747,0.0475,0.04828,-0.276,0.22,0.976,-0.276,0.236,1.036,0.08000000000000004,0.06324555320336764
color_1_6_0.png,3D,1531.0,Apple,24,0.061149999999999996,0.05579,0.05243,0.269,0.478,0.654,0.269,0.472,0.714,0.06999999999999995,0.06082762530298214
color_1_6_0.png,3D,1531.0,Apple,25,0.055549999999999995,0.05374,0.04924,-0.262,0.195,0.665,-0.272,0.163,0.725,0.10999999999999996,0.07280109889280514
color_1_6_1.png,3D,1538.0,Tennis_ball,1,0.0651789285714286,0.0651789285714286,0.0651789285714286,0.467,0.062,1.887,0.467,0.057,1.897,0.010000000000000009,0.010000000000000009
color_1_6_1.png,3D,1538.0,Apple,2,0.05986,0.05596,0.052340000000000005,0.0,0.079,1.854,0.0,0.062,1.894,0.05999999999999982,0.04472135954999563
color_1_6_1.png,3D,1538.0,Apple,3,0.061149999999999996,0.05579,0.05243,-0.469,0.085,1.844,-0.469,0.052,1.894,0.07999999999999982,0.05830951894845285
color_1_6_1.png,3D,1538.0,Apple,4,0.06436,0.061149999999999996,0.05579,0.468,0.086,1.532,0.468,0.049,1.582,0.09000000000000004,0.06403124237432851
color_1_6_1.png,3D,1538.0,Apple,5,0.05882,0.05952,0.052469999999999996,0.0,0.081,1.544,0.0,0.03,1.604,0.11000000000000006,0.07810249675906658
color_1_6_1.png,3D,1538.0,Apple,6,0.053700000000000005,0.05374,0.05364,-0.473,0.073,1.553,-0.473,0.033,1.603,0.09000000000000005,0.06403124237432853
color_1_6_1.png,3D,1538.0,Apple,7,0.06105,0.05845,0.04982,0.469,0.08,1.245,0.469,0.05,1.305,0.08000000000000004,0.05830951894845304
color_1_6_1.png,3D,1538.0,Tennis_ball,8,0.0651789285714286,0.0651789285714286,0.0651789285714286,0.0,0.062,1.287,0.0,0.01,1.297,0.060000000000000005,0.05099019513592785
color_1_6_1.png,3D,1538.0,Apple,9,0.06418,0.06325,0.055560000000000005,-0.468,0.089,1.232,-0.468,0.04,1.292,0.11000000000000004,0.07810249675906658
color_1_6_1.png,3D,1538.0,Apple,10,0.049530000000000005,0.047049999999999995,0.04403,0.475,0.066,0.968,0.475,0.036,0.998,0.06000000000000003,0.042426406871192875
color_1_6_1.png,3D,1538.0,Apple,11,0.06987,0.06844,0.06317,0.0,0.107,0.908,0.0,0.06,0.978,0.11999999999999995,0.08602325267042622
color_1_6_1.png,3D,1538.0,Apple,12,0.059789999999999996,0.05779,0.05198,-0.47,0.079,0.944,-0.47,0.031,0.994,0.10000000000000005,0.07071067811865478
color_1_6_1.png,3D,1538.0,Apple,13,0.06909,0.06714,0.059789999999999996,0.465,0.1,0.62,0.465,0.05,0.68,0.11000000000000006,0.07810249675906658
color_1_6_1.png,3D,1538.0,Apple,14,0.05787,0.05712,0.05273,0.0,0.078,0.654,0.0,0.04,0.684,0.07000000000000003,0.05000000000000002
color_1_6_1.png,3D,1538.0,Tennis_ball,15,0.0651789285714286,0.0651789285714286,0.0651789285714286,-0.467,0.062,0.687,-0.467,0.04,0.677,0.029999999999999895,0.02236067977499785
color_1_6_1.png,3D,1538.0,Apple,16,0.06658,0.06581000000000001,0.05819,0.187,0.277,1.831,0.167,0.257,1.911,0.11999999999999986,0.08485281374238557
color_1_6_1.png,3D,1538.0,Apple,17,0.04845,0.049159999999999995,0.0418,-0.126,0.274,1.879,-0.076,0.275,1.929,0.11000000000000006,0.07141428428542854
color_1_6_1.png,3D,1538.0,Apple,18,0.05932,0.056850000000000005,0.05077,0.17,0.119,1.555,0.17,0.102,1.645,0.09999999999999984,0.08246211251235307
color_1_6_1.png,3D,1538.0,Tennis_ball,19,0.0651789285714286,0.0651789285714286,0.0651789285714286,-0.267,0.439,1.597,-0.267,0.497,1.597,0.06,0.06
color_1_6_1.png,3D,1538.0,Apple,20,0.06508,0.06317,0.05831,0.067,0.395,1.231,0.067,0.388,1.311,0.09000000000000008,0.08062257748298557
color_1_6_1.png,3D,1538.0,Apple,21,0.06486,0.05994,0.05818,-0.068,0.151,1.241,-0.068,0.17,1.301,0.08000000000000007,0.06324555320336764
color_1_6_1.png,3D,1538.0,Tennis_ball,22,0.0651789285714286,0.0651789285714286,0.0651789285714286,0.167,0.249,0.997,0.167,0.277,1.007,0.040000000000000036,0.03162277660168382
color_1_6_1.png,3D,1538.0,Apple,23,0.04747,0.0475,0.04828,-0.276,0.227,0.976,-0.276,0.226,1.036,0.06000000000000005,0.06000000000000005
color_1_6_1.png,3D,1538.0,Apple,24,0.061149999999999996,0.05579,0.05243,0.269,0.485,0.654,0.269,0.472,0.714,0.06999999999999995,0.06082762530298214
color_1_6_1.png,3D,1538.0,Apple,25,0.055549999999999995,0.05374,0.04924,-0.262,0.202,0.665,-0.272,0.163,0.725,0.10999999999999996,0.07280109889280514
color_1_6_0.png,3D,1524.0,Tennis_ball,1,0.0651789285714286,0.0651789285714286,0.0651789285714286,0.467,0.048,1.887,0.467,0.037,1.917,0.04000000000000003,0.03162277660168382
color_1_6_0.png,3D,1524.0,Apple,2,0.05986,0.05596,0.052340000000000005,0.0,0.065,1.854,0.0,0.062,1.894,0.039999999999999813,0.039999999999999813
color_1_6_0.png,3D,1524.0,Apple,3,0.061149999999999996,0.05579,0.05243,-0.469,0.071,1.844,-0.469,0.062,1.874,0.040000000000000036,0.03162277660168382
color_1_6_0.png,3D,1524.0,Apple,4,0.06436,0.061149999999999996,0.05579,0.468,0.072,1.532,0.468,0.06,1.592,0.07000000000000006,0.060827625302982254
color_1_6_0.png,3D,1524.0,Apple,5,0.05882,0.05952,0.052469999999999996,0.0,0.067,1.544,0.0,0.03,1.604,0.10000000000000006,0.07211102550927984
color_1_6_0.png,3D,1524.0,Apple,6,0.053700000000000005,0.05374,0.05364,-0.473,0.059,1.553,-0.473,0.05,1.603,0.06000000000000004,0.05099019513592789
color_1_6_0.png,3D,1524.0,Apple,7,0.06105,0.05845,0.04982,0.469,0.066,1.245,0.469,0.05,1.305,0.07000000000000005,0.053851648071345085
color_1_6_0.png,3D,1524.0,Tennis_ball,8,0.0651789285714286,0.0651789285714286,0.0651789285714286,0.0,0.048,1.287,0.0,0.047,1.297,0.010000000000000009,0.010000000000000009
color_1_6_0.png,3D,1524.0,Apple,9,0.06418,0.06325,0.055560000000000005,-0.468,0.075,1.232,-0.468,0.04,1.292,0.10000000000000006,0.07211102550927984
color_1_6_0.png,3D,1524.0,Apple,10,0.049530000000000005,0.047049999999999995,0.04403,0.475,0.052,0.968,0.475,0.026,0.998,0.05000000000000003,0.03605551275463992
color_1_6_0.png,3D,1524.0,Apple,11,0.06987,0.06844,0.06317,0.0,0.093,0.908,0.0,0.036,0.978,0.11999999999999994,0.08602325267042622
color_1_6_0.png,3D,1524.0,Apple,12,0.059789999999999996,0.05779,0.05198,-0.47,0.065,0.944,-0.47,0.031,0.984,0.07000000000000003,0.05000000000000003
color_1_6_0.png,3D,1524.0,Apple,13,0.06909,0.06714,0.059789999999999996,0.465,0.086,0.62,0.465,0.05,0.68,0.10000000000000005,0.07211102550927982
color_1_6_0.png,3D,1524.0,Apple,14,0.05787,0.05712,0.05273,0.0,0.064,0.654,0.0,0.03,0.684,0.060000000000000026,0.042426406871192875
color_1_6_0.png,3D,1524.0,Tennis_ball,15,0.0651789285714286,0.0651789285714286,0.0651789285714286,-0.467,0.048,0.687,-0.467,0.02,0.667,0.049999999999999906,0.03605551275463984
color_1_6_0.png,3D,1524.0,Apple,16,0.06658,0.06581000000000001,0.05819,0.187,0.263,1.831,0.167,0.257,1.921,0.10999999999999985,0.09219544457292873
color_1_6_0.png,3D,1524.0,Apple,17,0.04845,0.049159999999999995,0.0418,-0.126,0.26,1.879,-0.076,0.275,1.929,0.12000000000000006,0.07348469228349538
color_1_6_0.png,3D,1524.0,Apple,18,0.05932,0.056850000000000005,0.05077,0.17,0.105,1.555,0.17,0.082,1.655,0.11999999999999987,0.10198039027185557
color_1_6_0.png,3D,1524.0,Tennis_ball,19,0.0651789285714286,0.0651789285714286,0.0651789285714286,-0.267,0.425,1.597,-0.267,0.497,1.597,0.08000000000000002,0.08000000000000002
color_1_6_0.png,3D,1524.0,Apple,20,0.06508,0.06317,0.05831,0.067,0.381,1.231,0.067,0.378,1.311,0.08000000000000007,0.08000000000000007
color_1_6_0.png,3D,1524.0,Apple,21,0.06486,0.05994,0.05818,-0.068,0.137,1.241,-0.068,0.18,1.301,0.10000000000000003,0.07211102550927982
color_1_6_0.png,3D,1524.0,Tennis_ball,22,0.0651789285714286,0.0651789285714286,0.0651789285714286,0.167,0.235,0.997,0.167,0.277,1.007,0.050000000000000044,0.041231056256176644
color_1_6_0.png,3D,1524.0,Apple,23,0.04747,0.0475,0.04828,-0.276,0.213,0.976,-0.276,0.226,1.036,0.08000000000000007,0.06324555320336764
color_1_6_0.png,3D,1524.0,Apple,24,0.061149999999999996,0.05579,0.05243,0.269,0.471,0.654,0.269,0.472,0.714,0.05999999999999994,0.05999999999999994
color_1_6_0.png,3D,1524.0,Apple,25,0.055549999999999995,0.05374,0.04924,-0.262,0.188,0.665,-0.272,0.153,0.725,0.10999999999999996,0.07280109889280514
color_1_6_1.png,3D,1524.0,Tennis_ball,1,0.0651789285714286,0.0651789285714286,0.0651789285714286,0.467,0.048,1.887,0.467,0.037,1.907,0.03000000000000002,0.022360679774997914
color_1_6_1.png,3D,1524.0,Apple,2,0.05986,0.05596,0.052340000000000005,0.0,0.065,1.854,0.0,0.062,1.894,0.039999999999999813,0.039999999999999813
color_1_6_1.png,3D,1524.0,Apple,3,0.061149999999999996,0.05579,0.05243,-0.469,0.071,1.844,-0.469,0.052,1.884,0.05999999999999982,0.04472135954999563
color_1_6_1.png,3D,1524.0,Apple,4,0.06436,0.061149999999999996,0.05579,0.468,0.072,1.532,0.468,0.06,1.592,0.07000000000000006,0.060827625302982254
color_1_6_1.png,3D,1524.0,Apple,5,0.05882,0.05952,0.052469999999999996,0.0,0.067,1.544,0.0,0.03,1.604,0.10000000000000006,0.07211102550927984
color_1_6_1.png,3D,1524.0,Apple,6,0.053700000000000005,0.05374,0.05364,-0.473,0.059,1.553,-0.473,0.033,1.603,0.08000000000000004,0.05830951894845304
color_1_6_1.png,3D,1524.0,Apple,7,0.06105,0.05845,0.04982,0.469,0.066,1.245,0.469,0.05,1.305,0.07000000000000005,0.053851648071345085
color_1_6_1.png,3D,1524.0,Tennis_ball,8,0.0651789285714286,0.0651789285714286,0.0651789285714286,0.0,0.048,1.287,0.0,0.05,1.297,0.010000000000000009,0.010000000000000009
color_1_6_1.png,3D,1524.0,Apple,9,0.06418,0.06325,0.055560000000000005,-0.468,0.075,1.232,-0.468,0.05,1.292,0.09000000000000005,0.06708203932499374
color_1_6_1.png,3D,1524.0,Apple,10,0.049530000000000005,0.047049999999999995,0.04403,0.475,0.052,0.968,0.475,0.04,0.998,0.04000000000000003,0.03162277660168382
color_1_6_1.png,3D,1524.0,Apple,11,0.06987,0.06844,0.06317,0.0,0.093,0.908,0.0,0.06,0.968,0.08999999999999994,0.06708203932499364
color_1_6_1.png,3D,1524.0,Apple,12,0.059789999999999996,0.05779,0.05198,-0.47,0.065,0.944,-0.47,0.031,0.984,0.07000000000000003,0.05000000000000003
color_1_6_1.png,3D,1524.0,Apple,13,0.06909,0.06714,0.059789999999999996,0.465,0.086,0.62,0.465,0.05,0.67,0.09000000000000004,0.06403124237432851
color_1_6_1.png,3D,1524.0,Apple,14,0.05787,0.05712,0.05273,0.0,0.064,0.654,0.0,0.04,0.684,0.050000000000000024,0.03605551275463991
color_1_6_1.png,3D,1524.0,Tennis_ball,15,0.0651789285714286,0.0651789285714286,0.0651789285714286,-0.467,0.048,0.687,-0.467,0.04,0.677,0.0199999999999999,0.01414213562373088
color_1_6_1.png,3D,1524.0,Apple,16,0.06658,0.06581000000000001,0.05819,0.187,0.263,1.831,0.167,0.257,1.911,0.09999999999999984,0.08246211251235307
color_1_6_1.png,3D,1524.0,Apple,17,0.04845,0.049159999999999995,0.0418,-0.126,0.26,1.879,-0.076,0.265,1.929,0.10000000000000005,0.07071067811865478
color_1_6_1.png,3D,1524.0,Apple,18,0.05932,0.056850000000000005,0.05077,0.17,0.105,1.555,0.17,0.092,1.645,0.08999999999999986,0.08062257748298535
color_1_6_1.png,3D,1524.0,Tennis_ball,19,0.0651789285714286,0.0651789285714286,0.0651789285714286,-0.267,0.425,1.597,-0.267,0.487,1.607,0.08000000000000002,0.07071067811865477
color_1_6_1.png,3D,1524.0,Apple,20,0.06508,0.06317,0.05831,0.067,0.381,1.231,0.067,0.378,1.311,0.08000000000000007,0.08000000000000007
color_1_6_1.png,3D,1524.0,Apple,21,0.06486,0.05994,0.05818,-0.068,0.137,1.241,-0.068,0.17,1.301,0.09000000000000005,0.06708203932499374
color_1_6_1.png,3D,1524.0,Tennis_ball,22,0.0651789285714286,0.0651789285714286,0.0651789285714286,0.167,0.235,0.997,0.167,0.267,1.007,0.040000000000000036,0.03162277660168382
color_1_6_1.png,3D,1524.0,Apple,23,0.04747,0.0475,0.04828,-0.276,0.213,0.976,-0.276,0.226,1.036,0.08000000000000007,0.06324555320336764
color_1_6_1.png,3D,1524.0,Apple,24,0.061149999999999996,0.05579,0.05243,0.269,0.471,0.654,0.269,0.472,0.704,0.04999999999999993,0.04999999999999993
color_1_6_1.png,3D,1524.0,Apple,25,0.055549999999999995,0.05374,0.04924,-0.262,0.188,0.665,-0.272,0.163,0.725,0.09999999999999995,0.06782329983125263
